,0,1,2,3
0,$5 a Day (2008),-,,
1,10 Cloverfield Lane (2016),-,,
2,10 Years (2011),-,,
3,"10,000 BC (2008)",-,,
4,"10,000 Saints (2015)",http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYvft1t27NogygGUjaacgAfYrVZEoV3yXKemW5j5fBHyhCQ_qmHkCnE3Q0UZLp3xcJ2q-m_5ZWg%0D%0AwN6IWkGKf9JpI9av3M5m2ny2bCc8TsP1mdXihen22Em9Ehcol20jUBcXLx69t9KAchmZXO9wcLSW%0D%0AvaCHE2tIpk_X_R0m1HoILj9jOOHGy0mtqAEF0MzzTqIglljKuT6AQlSawgXa3_OL_SiY7tCtm9nO%0D%0AC7FGJGkmkkU%0D%0A&ref_=tt_pdt_ofs_offsite_0,"6,769 people like this","6,707 people follow this"
5,100 Feet (2008),-,,
6,11-11-11 (2011),-,,
7,11.22.63,http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYnszJVnuZ5XahUbnrm0FX_iDuJf4D1H8--f68nF4QwLmNf0KpHr2HhZlpgx2sDEewrti40-cfn%0D%0AjyM1F2mAUSrbFJKaUAlZm8tIadZ_IoWm0gillMVboAtQV0ALlv7-l9Px2DWHWVuNneNp59c9jEwJ%0D%0ARs_MDLrzUHyidwiDZ-4NqI5oxH1Xj_7NgS30EtZ-o1AnUbdunC6WK6he17HOdcG9lhwSP92Xuulp%0D%0AT3W0HPgpziU%0D%0A&ref_=tt_pdt_ofs_offsite_0,"222,742 people like this","219,810 people follow this"
8,12 Rounds (2009),-,,
9,127 Hours (2010),http://www.imdb.com/offsite/?page-action=offsite-facebook&token=BCYpSkckC-nsakl0Txj3_pAOd1LliKz5XJMwhukUXue_M4XAQskPHfnY-G79J6io6bmlixosYz1z%0D%0AQDXrZUsZH4rtTEkDVKmYnVSUZVoS6t8iRUvkuQnt-T6mkchBiYnofarZylHttFD6GxJHrtBwuBTO%0D%0ACJGXy9g5nnXBYM_FOtzI4OQToiGV9fHUkd3z1IIh_YBcMa7_dqeVRBbBaXXKGd2bvYaCWQZ06jj4%0D%0Atztj12rxhT4%0D%0A&ref_=tt_pdt_ofs_offsite_0,"1,463,867 people like this","1,419,727 people follow this"
10,13 (2010),-,,
11,1408 (2007),-,,
12,16 Wishes (2010),-,,
13,17 Again (2009),-,,
