,Title,Genre,Datepublish,Rate,RatingCount,Director(s),Writer(s),Actor(s),Summary,Description,PlotKeyword,Time,Color,Language,Budget,Gross,Facebook_link,Offcialsite
0,$5 a Day (2008),"['Comedy', 'Drama']",2009-01-11,6.4,"2,826",['Nigel Cole'],"['Neal H. Dobrofsky,', 'Tippi Dobrofsky']","['Christopher Walken,', 'Alessandro Nivola,', 'Sharon Stone']",The son of a thrifty conman begrudgingly joins his father on the road.,"In L.A., Flynn Parker loses his job as a health inspector when his time in prison comes to light, his girlfriend Maggie moves out because of his prevarications, and his ne'er-do-well father, Nat, summons him to Atlantic City with a tale of a malignant cancer. Flynn doesn't like Nat, a small-time hustler and the cause of Flynn's jail time, but Nat cajoles his son into a cross-country trip through family memories toward New Mexico where an experimental treatment awaits. The trip is not just about the past, but whether either can tell the truth - and then what to do with those truths. From time to time, Flynn calls Maggie to leave messages. And what about Flynn's mother?                Written by
<jhailey@hotmail.com>","['undressing', 'unconsciousness', 'unconscious', 'getting undressed', 'father and son talk']","Runtime:
        90 min","Color:
        Color","Language:
        English",,,,
1,10 Cloverfield Lane (2016),"['Drama', 'Horror', 'Mystery']",2016-03-11,7.2,"232,334",['Dan Trachtenberg'],"['Josh Campbell (screenplay by),', 'Matthew Stuecken (screenplay by)']","['John Goodman,', 'Mary Elizabeth Winstead,', 'John Gallagher Jr.']","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?                Written by
Paramount Pictures","['bunker', 'kidnapping', 'alien', 'minimal cast', 'alien invasion']","Runtime:
        103 min","Color:
        Color","Language:
        English","Budget:$15,000,000
            (estimated)","Gross USA: $71,897,215, 22 May 2016",,
2,10 Years (2011),"['Comedy', 'Drama', 'Romance']",2012-10-05,6.1,"21,235",['Jamie Linden'],['Jamie Linden'],"['Channing Tatum,', 'Rosario Dawson,', 'Chris Pratt']","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways.","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways.","['high school reunion', 'reunion', 'kissing while having sex', 'old friends reunited', 'reunited friends']",,"Color:
        Color","Language:
        English",,"Gross USA: $203,373, 30 May 2013",,
3,"10,000 BC (2008)","['Action', 'Adventure', 'Drama']",2008-03-07,5.1,"116,014",['Roland Emmerich'],"['Roland Emmerich,', 'Harald Kloser']","['Camilla Belle,', 'Steven Strait,', 'Marco Khan']",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,"A prehistoric epic that follows a young mammoth hunter named D'Leh's journey through uncharted territory to secure the future of his tribe. When a band of mysterious horse-riding warlords raid the Yaghal camp and kidnaps his heart's desire - the beautiful Evolet along with many others, D'Leh is forced to lead a small group of hunters south to pursue the warlords to the end of the world to save her. Driven by destiny, the unlikely band of warriors must battle saber-toothed cats and terror birds in the Levant.                Written by
Anthony Pereyra {hypersonic91@yahoo.com}","['hunter', 'tribe', 'mammoth', 'captive', 'storyteller']","Runtime:
        109 min","Color:
        Color
(Technicolor)","Language:
        English","Budget:$105,000,000
            (estimated)","Gross USA: $94,784,201, 19 June 2008",,
4,"10,000 Saints (2015)","['Comedy', 'Drama', 'Music']",2015-08-14,5.9,"4,502","['Shari Springer Berman,', 'Robert Pulcini']","['Robert Pulcini (screenplay),', 'Shari Springer Berman (screenplay)']","['Ethan Hawke,', 'Asa Butterfield,', 'Hailee Steinfeld']","Set in the 1980s, a teenager from Vermont moves to New York City to live with his father in East Village.","Follows three screwed up young people and their equally screwed up parents in the age of CBGB's, yuppies and the tinderbox of gentrification that exploded into the Tompkins Square Park Riots in New York's East Village in the 1980s.","['alphabet city manhattan', 'indian american', 'chopsticks', 'crying', 'guitarist']","Runtime:
        113 min","Color:
        Color","Language:
        English",,"Gross USA: $59,333, 14 August 2015",/offsite/?page-action=offsite-facebook&token=BCYvft1t27NogygGUjaacgAfYrVZEoV3yXKemW5j5fBHyhCQ_qmHkCnE3Q0UZLp3xcJ2q-m_5ZWg%0D%0AwN6IWkGKf9JpI9av3M5m2ny2bCc8TsP1mdXihen22Em9Ehcol20jUBcXLx69t9KAchmZXO9wcLSW%0D%0AvaCHE2tIpk_X_R0m1HoILj9jOOHGy0mtqAEF0MzzTqIglljKuT6AQlSawgXa3_OL_SiY7tCtm9nO%0D%0AC7FGJGkmkkU%0D%0A&ref_=tt_pdt_ofs_offsite_0,
5,100 Feet (2008),"['Horror', 'Mystery', 'Thriller']",2008-07-24,5.5,"11,110",['Eric Red'],['Eric Red'],"['Famke Janssen,', 'Bobby Cannavale,', 'Ed Westwick']","After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.","A young woman, Marnie Watson, is granted early release from her prison sentence for manslaughter (killing her husband - a violent NYC cop - in self defense) on condition she wear an electronic ankle bracelet and remain within her home, effectively under house arrest, for the remainder of her sentence. Her late husband's partner keeps tabs on her from a patrol car parked across the street, hoping she'll violate probation and he can send her back to prison. But the 100-foot radius her ankle bracelet allows isn't the worst of her problems. Her dead husband --now a malevolent ghost--is still in the house, where he died -- intent on savage revenge.                Written by
Grand Ilusions","['prison', 'house arrest', 'revenge', 'ankle bracelet', 'woman']","Runtime:
        96 min
          |
        104 min
            (unrated)","Color:
        Color","Language:
        English","Budget:$10,000,000
            (estimated)",,,
6,11-11-11 (2011),"['Horror', 'Mystery', 'Thriller']",2011-11-03,4.0,"11,471",['Darren Lynn Bousman'],['Darren Lynn Bousman'],"['Timothy Gibbs,', 'Michael Landes,', 'Brendan Price']","After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.","The successful American writer and atheist Joseph Crone participates in a support group to accept the death of his beloved wife Sarah and their son Diogo. Joe befriends Sadie in one of the meetings and she helps him when he has a car accident. When Joe's estranged religious brother Samuel Crone (Michael Landes) tells him that their father is terminal, he travels to Barcelona to stay near the death bed of his father. Joe has visions of demons and with the number 11 and he finds that something evil will happen with Samuel and him on 11 November 2011.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil","['evil', 'support group', 'author', 'dying father', 'betrayal']",,"Color:
        Color","Language:
        English
            |
        Spanish",,,,
7,11.22.63,"['Drama', 'Mystery', 'Sci-Fi']",,8.2,"52,849",[],['Bridget Carpenter'],"['James Franco,', 'Sarah Gadon,', 'George MacKay']",A high school teacher travels back in time to prevent John F. Kennedy's assassination.,"A teacher discovers a time portal that leads to October 21st, 1960 and goes on a quest to try and prevent the assassination of John F. Kennedy, which is complicated by the presence of Lee Harvey Oswald and the fact that he's falling in love with the past itself.                Written by
Anonymous","['assassination of jfk', 'time travel', 'historical event', 'year 1963', 'changing the future']","Runtime:
        60 min
          |
        436 min
            (Blu-ray)","Color:
        Color","Language:
        Russian
            |
        Spanish
            |
        English",,,/offsite/?page-action=offsite-facebook&token=BCYnszJVnuZ5XahUbnrm0FX_iDuJf4D1H8--f68nF4QwLmNf0KpHr2HhZlpgx2sDEewrti40-cfn%0D%0AjyM1F2mAUSrbFJKaUAlZm8tIadZ_IoWm0gillMVboAtQV0ALlv7-l9Px2DWHWVuNneNp59c9jEwJ%0D%0ARs_MDLrzUHyidwiDZ-4NqI5oxH1Xj_7NgS30EtZ-o1AnUbdunC6WK6he17HOdcG9lhwSP92Xuulp%0D%0AT3W0HPgpziU%0D%0A&ref_=tt_pdt_ofs_offsite_0,
8,12 Rounds (2009),"['Action', 'Crime', 'Mystery']",2009-03-27,5.6,"24,760",['Renny Harlin'],['Daniel Kunka'],"['John Cena,', 'Ashley Scott,', 'Aidan Gillen']","Detective Danny Fisher discovers his girlfriend has been kidnapped by a ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.","Uniformed New Orleans PD officer Danny Fisher earns his promotion to detective to his near-rather lucky, albeit brave, arrest of ruthless terrorist arms-dealer Miles Jackson, whose girlfriend Erica Kessen got accidentally killed during the dirty FBI-operation. Exactly a year later, Miles has escaped and blows up Danny's house as foretaste of a Herculean race to accomplish twelve near-impossible tasks against the clock, otherwise his kidnapped wife Molly will be killed. Yet at the end, another master-plan is suspected.                Written by
KGF Vissers","['car chase', 'car crash', 'car accident', 'detective', 'terrorist']","Runtime:
        108 min","Color:
        Color","Language:
        English","Budget:$22,000,000
            (estimated)","Gross USA: $12,232,937, 7 June 2009",,
9,127 Hours (2010),"['Adventure', 'Biography', 'Drama']",2011-01-28,7.6,"307,395",['Danny Boyle'],"['Danny Boyle (screenplay),', 'Simon Beaufoy (screenplay)']","['James Franco,', 'Amber Tamblyn,', 'Kate Mara']","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he can be rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?                Written by
Fox Searchlight Pictures","['survival', 'alone', 'based on autobiography', 'aron ralston', 'mountain climber']","Runtime:
        94 min","Color:
        Color","Language:
        English
            |
        Italian","Budget:$18,000,000
            (estimated)","Gross USA: $18,335,230",/offsite/?page-action=offsite-facebook&token=BCYpSkckC-nsakl0Txj3_pAOd1LliKz5XJMwhukUXue_M4XAQskPHfnY-G79J6io6bmlixosYz1z%0D%0AQDXrZUsZH4rtTEkDVKmYnVSUZVoS6t8iRUvkuQnt-T6mkchBiYnofarZylHttFD6GxJHrtBwuBTO%0D%0ACJGXy9g5nnXBYM_FOtzI4OQToiGV9fHUkd3z1IIh_YBcMa7_dqeVRBbBaXXKGd2bvYaCWQZ06jj4%0D%0Atztj12rxhT4%0D%0A&ref_=tt_pdt_ofs_offsite_0,
10,13 (2010),"['Drama', 'Thriller']",2010-03,6.1,"37,014",['Géla Babluani'],"['Géla Babluani (screenplay),', 'Greg Pruss (screenplay) (as Gregory Pruss)']","['Sam Riley,', 'Alice Barrett,', 'Gaby Hoffmann']","A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.","In Talbot, Ohio, a father's need for surgeries puts the family in a financial bind. His son Vince, an electrician, overhears a man talking about making a fortune in just a day. When the man overdoses on drugs, Vince finds instructions and a cell phone that the man has received and substitutes himself: taking a train to New York and awaiting contact. He has no idea what it's about. He ends up at a remote house where wealthy men bet on who will survive a complicated game of Russian roulette: he's number 13. In flashbacks we meet other contestants, including a man whose brother takes him out of a mental institution in order to compete. Can Vince be the last one standing?                Written by
<jhailey@hotmail.com>","['flashback', 'new york', 'electrician', 'cell phone', 'ohio']","Runtime:
        91 min","Color:
        Color","Language:
        English",,,,
